,C1
,Last updated: 01/10/25 - 09:30
,
R1,-1.614506
R2,-1.931929
R3,-0.735739
R4,1.644908
R5,2.083966
R6,1.971968
R7,-0.504925
R8,-5.173669
R9,-8.289769
R10,-6.942394
R11,-4.718464
R12,-1.846408
R13,1.778310
R14,0.376761
R15,-4.014579
R16,-1.608056
R17,-3.770280
R18,-3.765207
R19,-2.615382
R20,-7.364491
R21,-2.991997
R22,1.477145
R23,6.035126
R24,0.956182
R25,4.558649
R26,-1.428036
R27,-3.378934
R28,-0.469013
R29,1.289302
R30,3.384656
R31,6.650288
R32,7.397757
R33,8.826463
R34,8.227905
R35,7.791613
R36,7.365902
R37,8.455729
R38,6.945062
R39,5.730662
R40,5.035018
R41,2.048742
R42,1.617823
R43,0.617978
R44,-0.669883
R45,-0.060045
R46,-0.190415
R47,0.026274
R48,-0.346522
R49,-0.129633
R50,-0.919145
R51,-0.846397
R52,-1.022780
R53,-8.034026
R54,-21.64481
R55,-9.744673
R56,-8.963123
R57,-0.597064
R58,21.91272
R59,7.436615
R60,7.760280
R61,3.637717
R62,-0.207747
R63,-1.927060
R64,-5.044977
R65,-1.122384
R66,-2.755878
R67,-3.927889
R68,-3.526483
R69,-4.112451
R70,-3.251103
R71,-0.833248
R72,-0.833248
R73,-0.833248
R74,-0.833248
R75,-0.833248
R76,-0.833248
